question,option1,option2,option3,option4,answer,explain,topic,difficulty,test_id
एक ट्रेन 72 किमी/घंटा की चाल से चल रही है। वह 15 सेकंड में कितनी दूरी तय करेगी?,200 मीटर,250 मीटर,300 मीटर,360 मीटर,3,72 किमी/घंटा को मीटर/सेकंड में बदलें: 72 × (5/18) = 20 मी/से। दूरी = 20 × 15 = 300 मीटर।,गणित,easy,bihar-police-constable-1
"पाँच संख्याओं का औसत 26 है। यदि उनमें से 40 हटा दी जाए, तो शेष चार संख्याओं का औसत क्या होगा?",21.5,22.5,23.5,24.5,2,पाँच संख्याओं का योग = 26 × 5 = 130। 40 हटाने पर योग = 90। शेष चार का औसत = 90 ÷ 4 = 22.5।,गणित,easy,bihar-police-constable-1
"किसी संख्या का 35% यदि 84 है, तो वह संख्या क्या है?",210,240,260,280,2,"माना संख्या x है। x का 35% = 84, यानी 0.35x = 84, तो x = 84 ÷ 0.35 = 240।",गणित,easy,bihar-police-constable-1
निर्वात में प्रकाश की चाल लगभग कितनी होती है?,3 × 10⁶ मी/से,3 × 10⁸ मी/से,3 × 10¹⁰ मी/से,3 × 10⁵ मी/से,2,निर्वात में प्रकाश की चाल लगभग 3 × 10⁸ मीटर प्रति सेकंड (लगभग 3 लाख किलोमीटर प्रति सेकंड) होती है।,विज्ञान,easy,bihar-police-constable-1
साधारण नमक का रासायनिक नाम क्या है?,सोडियम कार्बोनेट,सोडियम बाइकार्बोनेट,सोडियम क्लोराइड,कैल्शियम कार्बोनेट,3,साधारण नमक सोडियम क्लोराइड (NaCl) है। सोडियम बाइकार्बोनेट खाने का सोडा है और कैल्शियम कार्बोनेट चूना पत्थर।,विज्ञान,easy,bihar-police-constable-1
मानव शरीर की सबसे बड़ी ग्रंथि कौन सी है?,अग्न्याशय,थायरॉइड,यकृत,पीयूष ग्रंथि,3,"यकृत (liver) मानव शरीर की सबसे बड़ी ग्रंथि है। पीयूष ग्रंथि सबसे छोटी होती है, पर उसे 'मास्टर ग्रंथि' कहा जाता है।",विज्ञान,easy,bihar-police-constable-1
विद्युत धारा मापने की इकाई क्या है?,वोल्ट,ओम,ऐम्पियर,वाट,3,"विद्युत धारा की इकाई ऐम्पियर है। वोल्ट विभवांतर की, ओम प्रतिरोध की और वाट शक्ति की इकाई है।",विज्ञान,easy,bihar-police-constable-1
भारत का संविधान कब लागू हुआ था?,15 अगस्त 1947,26 नवंबर 1949,26 जनवरी 1950,2 अक्टूबर 1950,3,"संविधान 26 नवंबर 1949 को अंगीकृत हुआ, पर लागू 26 जनवरी 1950 को हुआ — इसीलिए यह दिन गणतंत्र दिवस के रूप में मनाया जाता है।",सामाजिक विज्ञान,easy,bihar-police-constable-1
किस नदी को 'बिहार का शोक' कहा जाता है?,गंडक,कोसी,सोन,बागमती,2,"कोसी नदी को 'बिहार का शोक' कहा जाता है, क्योंकि यह बार-बार अपनी धारा बदलती है और भीषण बाढ़ लाती है। कोसी प्रमंडल का नाम भी इसी नदी पर है।",सामाजिक विज्ञान,easy,bihar-police-constable-1
चंपारण सत्याग्रह किस वर्ष हुआ था?,1915,1917,1919,1920,2,चंपारण सत्याग्रह 1917 में हुआ था। यह भारत में महात्मा गांधी का पहला सत्याग्रह था और यह बिहार के चंपारण जिले में नील किसानों के लिए चलाया गया।,सामाजिक विज्ञान,easy,bihar-police-constable-1
मौलिक अधिकार भारतीय संविधान के किस भाग में वर्णित हैं?,भाग II,भाग III,भाग IV,भाग V,2,मौलिक अधिकार संविधान के भाग III (अनुच्छेद 12 से 35) में हैं। भाग IV में नीति निदेशक तत्व आते हैं।,सामाजिक विज्ञान,easy,bihar-police-constable-1
बिहार में लोकसभा की कुल कितनी सीटें हैं?,38,40,42,48,2,बिहार में लोकसभा की 40 सीटें हैं। राज्य में जिलों की संख्या 38 है — इन दोनों आंकड़ों में अक्सर भ्रम होता है।,सामान्य ज्ञान,easy,bihar-police-constable-1
प्राचीन नालंदा विश्वविद्यालय वर्तमान बिहार के किस जिले में स्थित था?,पटना,गया,नालंदा,वैशाली,3,"प्राचीन नालंदा विश्वविद्यालय आज के नालंदा जिले में स्थित था, जिसका मुख्यालय बिहारशरीफ है।",सामान्य ज्ञान,easy,bihar-police-constable-1
बिहार दिवस किस तारीख को मनाया जाता है?,22 मार्च,1 अप्रैल,15 नवंबर,26 जनवरी,1,"बिहार दिवस 22 मार्च को मनाया जाता है, क्योंकि 1912 में इसी दिन बंगाल से अलग होकर बिहार एक अलग प्रांत बना था।",सामान्य ज्ञान,easy,bihar-police-constable-1
कोसी प्रमंडल में कौन-कौन से जिले आते हैं?,"सहरसा, मधेपुरा, सुपौल","पूर्णिया, कटिहार, अररिया","दरभंगा, मधुबनी, समस्तीपुर","भागलपुर, बांका, मुंगेर",1,"कोसी प्रमंडल में तीन जिले आते हैं — सहरसा, मधेपुरा और सुपौल। इसका मुख्यालय सहरसा है।",सामान्य ज्ञान,easy,bihar-police-constable-1
